MPN,Price
﻿100-C09KF01,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/%EF%BB%BF100-C09KF01 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
100-C09KF10,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C09KF10 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
100-C12KF01,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C12KF01 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BAA240>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
100-C12KF10,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C12KF10 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0D670>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
100-C16D10,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C16D10 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 400 Bad Request')))"
100-C16EJ01,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C16EJ01 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D2E3F0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
100-C16EJ300,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C16EJ300 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0C4D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
100-C16KF10,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C16KF10 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BCC920>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
100-C16KF400,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C16KF400 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2BCD1F0>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
100-C16KJ10,"Error: HTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C16KJ10 (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 407 Proxy Authentication Required')))"
100-C23D01,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C23D01 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D2D730>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
100-C23KF01,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C23KF01 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2B7CDD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"
100-C23KF10,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C23KF10 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
100-C23KF400,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C23KF400 (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB1D62AE0>: Failed to establish a new connection: [WinError 10054] An existing connection was forcibly closed by the remote host'))"
100-C30KF00,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C30KF00 (Caused by ConnectTimeoutError(<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000016BB2A0D670>, 'Connection to www.bpx.co.uk timed out. (connect timeout=10)'))"
100-C37D10,"Error: SOCKSHTTPSConnectionPool(host='www.bpx.co.uk', port=443): Max retries exceeded with url: /store/product/100-C37D10 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
